                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 1.2348,                0.95371,                 1.5987,                0.75778,                 0.7879,                0.72947,                0.46884,                 1.4081,                  1.125,                 1.7311,             0.00072164,             0.00072164,             0.00072164
                    103,                 1.2263,                0.92162,                 1.6013,                0.80908,                0.70305,                0.75262,                0.46305,                 1.3953,                 1.2041,                 1.7077,             0.00071457,             0.00071457,             0.00071457
                    104,                 1.2173,                 0.9142,                 1.5897,                0.60258,                0.72809,                0.68516,                0.45985,                 1.3248,                 1.0631,                 1.6436,              0.0007075,              0.0007075,              0.0007075
                    105,                 1.2128,                0.93315,                 1.5803,                0.64791,                0.66748,                0.68047,                 0.4776,                 1.3391,                 1.1074,                 1.6471,             0.00070042,             0.00070042,             0.00070042
                    106,                 1.2369,                0.91664,                 1.6122,                0.87824,                0.62956,                0.68621,                0.47815,                 1.4251,                 1.1339,                 1.7117,             0.00069335,             0.00069335,             0.00069335
                    107,                 1.2402,                0.90445,                  1.619,                0.87249,                  0.638,                0.68993,                0.47864,                 1.4384,                 1.1433,                 1.7283,             0.00068628,             0.00068628,             0.00068628
                    108,                 1.2473,                0.89952,                 1.5727,                0.79681,                 0.6986,                0.69995,                0.47899,                 1.3783,                 1.0854,                 1.7146,              0.0006792,              0.0006792,              0.0006792
                    109,                 1.1874,                0.91832,                 1.5731,                0.77467,                  0.638,                0.66035,                0.46696,                 1.3778,                 1.0516,                 1.6906,             0.00067213,             0.00067213,             0.00067213
                    110,                 1.1828,                0.91097,                 1.5594,                0.72677,                0.71142,                0.72444,                0.48723,                 1.3645,                0.97839,                 1.7063,             0.00066506,             0.00066506,             0.00066506
                    111,                 1.1662,                0.88147,                 1.5464,                0.70462,                0.74462,                0.73726,                0.49795,                 1.3325,                0.93305,                 1.6715,             0.00065798,             0.00065798,             0.00065798
                    112,                 1.1492,                0.86561,                 1.5645,                0.67794,                 0.7666,                0.70985,                 0.4933,                 1.2605,                0.96466,                 1.6571,             0.00065091,             0.00065091,             0.00065091
                    113,                 1.1574,                0.86319,                 1.5112,                0.87583,                 0.6513,                 0.6961,                0.48842,                 1.3884,                 1.0441,                 1.7109,             0.00064384,             0.00064384,             0.00064384
                    114,                 1.1642,                0.84955,                 1.5723,                0.79044,                 0.6625,                0.68914,                0.49501,                 1.3183,                 1.0106,                 1.7028,             0.00063676,             0.00063676,             0.00063676
                    115,                 1.1615,                0.84313,                 1.5465,                0.66992,                0.69779,                0.68694,                0.49103,                 1.3734,                 1.0117,                 1.7145,             0.00062969,             0.00062969,             0.00062969
